experiment_id,name,description,final_val_accuracy,final_val_loss,best_val_loss,final_train_loss,elapsed_time
3,test_pool,Quick pooling test,0.691,0.754349127175316,0.754349127175316,0.6376631139947203,11.517306327819824
2,test_pos_enc,Quick positional encoding test,0.619,0.7861737793400174,0.6859769239312127,0.6998049028384419,11.53335976600647
1,test_baseline,Quick baseline test,0.618,0.7839777322988661,0.6768025103069487,0.7056446153515825,38.355623960494995
